config_id,dataset,seed,target_threshold,leakage_threshold,rule,deployed,selected_candidate,selected_method,external_contract_estimable,external_contract_satisfied,measured_external_contract_violation,procedurally_unsupported_deployment,support_mismatch_forced_abstention,confirmatory
Bios|seed=44|tau=0.4|lambda=0.7,Bios,44,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=44|tau=0.4|lambda=0.7,Bios,44,0.4,0.7,point_selection_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=44|tau=0.4|lambda=0.7,Bios,44,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=44|tau=0.4|lambda=0.7,Bios,44,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=44|tau=0.4|lambda=0.7,Bios,44,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Camelyon17-WILDS|seed=13|support-boundary,Camelyon17-WILDS,13,,,always_deploy_balanced,True,"MANCE++::epsilon=0.05,steps=3",MANCE++,False,NA,False,True,False,True
Camelyon17-WILDS|seed=13|support-boundary,Camelyon17-WILDS,13,,,point_selection_balanced,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=13|support-boundary,Camelyon17-WILDS,13,,,vera_balanced_iut,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=13|support-boundary,Camelyon17-WILDS,13,,,vera_balanced_envelope,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=13|support-boundary,Camelyon17-WILDS,13,,,external_balanced_oracle,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=14|support-boundary,Camelyon17-WILDS,14,,,always_deploy_balanced,True,"MANCE++::epsilon=0.05,steps=3",MANCE++,False,NA,False,True,False,True
Camelyon17-WILDS|seed=14|support-boundary,Camelyon17-WILDS,14,,,point_selection_balanced,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=14|support-boundary,Camelyon17-WILDS,14,,,vera_balanced_iut,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=14|support-boundary,Camelyon17-WILDS,14,,,vera_balanced_envelope,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=14|support-boundary,Camelyon17-WILDS,14,,,external_balanced_oracle,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=15|support-boundary,Camelyon17-WILDS,15,,,always_deploy_balanced,True,"MANCE++::epsilon=0.05,steps=3",MANCE++,False,NA,False,True,False,True
Camelyon17-WILDS|seed=15|support-boundary,Camelyon17-WILDS,15,,,point_selection_balanced,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=15|support-boundary,Camelyon17-WILDS,15,,,vera_balanced_iut,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=15|support-boundary,Camelyon17-WILDS,15,,,vera_balanced_envelope,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=15|support-boundary,Camelyon17-WILDS,15,,,external_balanced_oracle,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=16|support-boundary,Camelyon17-WILDS,16,,,always_deploy_balanced,True,"MANCE++::epsilon=0.05,steps=3",MANCE++,False,NA,False,True,False,True
Camelyon17-WILDS|seed=16|support-boundary,Camelyon17-WILDS,16,,,point_selection_balanced,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=16|support-boundary,Camelyon17-WILDS,16,,,vera_balanced_iut,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=16|support-boundary,Camelyon17-WILDS,16,,,vera_balanced_envelope,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=16|support-boundary,Camelyon17-WILDS,16,,,external_balanced_oracle,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=17|support-boundary,Camelyon17-WILDS,17,,,always_deploy_balanced,True,"MANCE++::epsilon=0.05,steps=3",MANCE++,False,NA,False,True,False,True
Camelyon17-WILDS|seed=17|support-boundary,Camelyon17-WILDS,17,,,point_selection_balanced,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=17|support-boundary,Camelyon17-WILDS,17,,,vera_balanced_iut,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=17|support-boundary,Camelyon17-WILDS,17,,,vera_balanced_envelope,False,,,False,NA,False,False,True,True
Camelyon17-WILDS|seed=17|support-boundary,Camelyon17-WILDS,17,,,external_balanced_oracle,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=18|support-boundary,Camelyon17-WILDS,18,,,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,False,NA,False,True,False,True
Camelyon17-WILDS|seed=18|support-boundary,Camelyon17-WILDS,18,,,point_selection_balanced,False,,,False,NA,False,False,False,True
Camelyon17-WILDS|seed=18|support-boundary,Camelyon17-WILDS,18,,,vera_balanced_iut,False,,,False,NA,False,False,True,True
